"","airport","lat","long"
"1","ABE",40.65236278,-75.44040167
"2","ABI",32.41132,-99.68189722
"3","ABQ",35.04022222,-106.6091944
"4","ABR",45.44905556,-98.42183333
"5","ABY",31.535515,-84.19447333
"6","ACT",31.61128833,-97.23051917
"7","ACV",40.97811528,-124.1086189
"8","ACY",39.45758333,-74.57716667
"9","ADK",51.87796389,-176.6460306
"10","ADQ",57.74996778,-152.4938553
"11","AEX",31.32737167,-92.54855611
"12","AGS",33.369955,-81.96449611
"13","ALB",42.74811944,-73.80297861
"14","ALO",42.55708139,-92.40034361
"15","AMA",35.2193725,-101.7059272
"16","ANC",61.17432028,-149.9961856
"17","APN",45.0780675,-83.56028583
"18","ASE",39.22316,-106.868845
"19","ATL",33.64044444,-84.42694444
"20","ATW",44.25740806,-88.51947556
"21","AUS",30.19453278,-97.66987194
"22","AVL",35.43619444,-82.54180556
"23","AVP",41.33814944,-75.7242675
"24","AZO",42.234875,-85.5520575
"25","BDL",41.93887417,-72.68322833
"26","BET",60.77977639,-161.8379975
"27","BFL",35.43359806,-119.0567681
"28","BGR",44.80744444,-68.82813889
"29","BHM",33.56294306,-86.75354972
"30","BIL",45.8076625,-108.5428611
"31","BIS",46.77411111,-100.7467222
"32","BJI",47.50942417,-94.93372333
"33","BLI",48.79275,-122.5375278
"34","BMI",40.47798556,-88.91595278
"35","BNA",36.12447667,-86.67818222
"36","BOI",43.56444444,-116.2227778
"37","BOS",42.3643475,-71.00517917
"38","BPT",29.95083333,-94.02069444
"39","BQK",31.25902778,-81.46630556
"40","BQN",18.49486111,-67.12944444
"41","BRD",46.39785806,-94.1372275
"42","BRO",25.90683333,-97.42586111
"43","BRW",71.2854475,-156.7660019
"44","BTM",45.95479528,-112.49746
"45","BTR",30.53316083,-91.14963444
"46","BTV",44.47300361,-73.1503125
"47","BUF",42.94052472,-78.73216667
"48","BUR",34.20061917,-118.3584969
"49","BWI",39.17540167,-76.66819833
"50","BZN",45.77690139,-111.1530072
"51","CAE",33.93884,-81.11953944
"52","CAK",40.91631194,-81.44246556
"53","CDC",37.70097028,-113.098575
"54","CDV",60.49183389,-145.4776503
"55","CEC",41.78015722,-124.2365333
"56","CHA",35.03526833,-85.20378778
"57","CHO",38.13863889,-78.45286111
"58","CHS",32.89864639,-80.04050583
"59","CIC",39.79538278,-121.8584231
"60","CID",41.88458833,-91.71087222
"61","CIU",46.25075194,-84.47238528
"62","CLD",33.127231,-117.278727
"63","CLE",41.41089417,-81.84939667
"64","CLL",30.58858944,-96.36382417
"65","CLT",35.21401111,-80.94312583
"66","CMH",39.99798528,-82.89188278
"67","CMI",40.03925,-88.27805556
"68","CMX",47.16841722,-88.48906083
"69","CNY",38.75495611,-109.7548439
"70","COD",44.52019417,-109.0237961
"71","COS",38.80580556,-104.70025
"72","COU",38.81809306,-92.21962917
"73","CPR",42.90835556,-106.4644661
"74","CRP",27.77036083,-97.50121528
"75","CRW",38.37315083,-81.59318972
"76","CSG",32.51633333,-84.93886111
"77","CVG",39.04614278,-84.6621725
"78","CWA",44.77761917,-89.66677944
"79","DAB",29.17991667,-81.05805556
"80","DAL",32.84711389,-96.85177222
"81","DAY",39.90237583,-84.219375
"82","DBQ",42.40295944,-90.70916722
"83","DCA",38.85208333,-77.03772222
"84","DEN",39.85840806,-104.6670019
"85","DFW",32.89595056,-97.0372
"86","DHN",31.32133917,-85.44962889
"87","DIK",46.79738889,-102.8019528
"88","DLH",46.84209028,-92.19364861
"89","DRO",37.15151667,-107.7537692
"90","DSM",41.53493306,-93.66068222
"91","DTW",42.21205889,-83.34883583
"92","DVL",48.11424528,-98.90877833
"93","EAU",44.86525722,-91.48507194
"94","EGE",39.64256778,-106.9176953
"95","EKO",40.82492611,-115.7916964
"96","ELM",42.15991361,-76.89144333
"97","ELP",31.80666667,-106.3778056
"98","ERI",42.08202139,-80.17621556
"99","ESC",45.72266972,-87.09373139
"100","EUG",44.12326,-123.2186856
"101","EVV",38.03799139,-87.53062667
"102","EWN",35.07297222,-77.04294444
"103","EWR",40.69249722,-74.16866056
"104","EYW",24.55611111,-81.75955556
"105","FAI",64.8136775,-147.8596694
"106","FAR",46.91934889,-96.81498889
"107","FAT",36.77619444,-119.7181389
"108","FAY",34.99147222,-78.88
"109","FCA",48.31140472,-114.2550694
"110","FLG",35.13845472,-111.6712183
"111","FLL",26.07258333,-80.15275
"112","FNT",42.96550333,-83.74345639
"113","FSD",43.58135111,-96.74170028
"114","FSM",35.33659028,-94.36744111
"115","FWA",40.97846583,-85.19514639
"116","GCC",44.34889806,-105.5393614
"117","GCK",37.92751556,-100.7244147
"118","GEG",47.61985556,-117.5338425
"119","GFK",47.949255,-97.17611111
"120","GGG",32.38486111,-94.71171
"121","GJT",39.1224125,-108.5267347
"122","GNV",29.69005556,-82.27177778
"123","GPT",30.40728028,-89.07009278
"124","GRB",44.48507333,-88.12959
"125","GRI",40.96747222,-98.30861111
"126","GRK",31.06489778,-97.82779778
"127","GRR",42.88081972,-85.52276778
"128","GSO",36.09774694,-79.9372975
"129","GSP",34.89566722,-82.21885833
"130","GTF",47.48200194,-111.3706853
"131","GTR",33.45033444,-88.59136861
"132","GUC",38.53396333,-106.9331817
"133","GUM",13.48345,-144.7959825
"134","HDN",40.48118028,-107.2176597
"135","HIB",47.38659917,-92.83899333
"136","HLN",46.60681806,-111.9827503
"137","HNL",21.31869111,-157.9224072
"138","HOB",32.68752778,-103.2170278
"139","HOU",29.64541861,-95.27888889
"140","HPN",41.06695778,-73.70757444
"141","HRL",26.22850611,-97.65439389
"142","HSV",34.6404475,-86.77310944
"143","HYS",38.84494167,-99.27403361
"144","IAD",38.94453194,-77.45580972
"145","IAH",29.98047222,-95.33972222
"146","ICT",37.64995889,-97.43304583
"147","IDA",43.51455556,-112.0701667
"148","ILG",39.67872222,-75.60652778
"149","ILM",34.27061111,-77.90255556
"150","IMT",45.81835417,-88.1145425
"151","IND",39.71732917,-86.29438417
"152","INL",48.56618722,-93.40306667
"153","ISN",48.17793861,-103.6423467
"154","ISP",40.7952425,-73.10021194
"155","ITO",19.72026306,-155.0484703
"156","JAC",43.60732417,-110.7377389
"157","JAN",32.31116667,-90.07588889
"158","JAX",30.49405556,-81.68786111
"159","JFK",40.63975111,-73.77892556
"160","JLN",37.15181361,-94.49826833
"161","JMS",46.92971944,-98.67819528
"162","JNU",58.35496194,-134.5762764
"163","KOA",19.73876583,-156.0456314
"164","KTN",55.35556861,-131.71374
"165","LAN",42.7787,-84.58735806
"166","LAR",41.31205,-105.6749864
"167","LAS",36.08036111,-115.1523333
"168","LAW",34.56771444,-98.41663667
"169","LAX",33.94253611,-118.4080744
"170","LBB",33.66363889,-101.8227778
"171","LCH",30.1260975,-93.22340361
"172","LEX",38.03697222,-84.60538889
"173","LFT",30.20527972,-91.987655
"174","LGA",40.77724306,-73.87260917
"175","LGB",33.81772222,-118.1516111
"176","LIH",21.97598306,-159.3389581
"177","LIT",34.72939611,-92.22424556
"178","LNK",40.85097222,-96.75925
"179","LRD",27.54373861,-99.46154361
"180","LSE",43.87937972,-91.25653778
"181","LWS",46.37449806,-117.0153944
"182","MAF",31.94252778,-102.2019139
"183","MBS",43.53291472,-84.07964722
"184","MCI",39.29760528,-94.71390556
"185","MCN",32.69284944,-83.64921083
"186","MCO",28.42888889,-81.31602778
"187","MDT",40.19349528,-76.76340361
"188","MDW",41.7859825,-87.75242444
"189","MEI",32.33313333,-88.75120556
"190","MEM",35.04241667,-89.97666667
"191","MFE",26.17583333,-98.23861111
"192","MFR",42.37422778,-122.8734978
"193","MGM",32.30064417,-86.39397611
"194","MHK",39.14096722,-96.67083278
"195","MHT",42.93451639,-71.43705583
"196","MIA",25.79325,-80.29055556
"197","MKE",42.94722222,-87.89658333
"198","MKG",43.16948806,-86.23822306
"199","MLB",28.10275,-80.64580556
"200","MLI",41.44852639,-90.50753917
"201","MLU",32.51086556,-92.03768778
"202","MMH",37.62404861,-118.8377722
"203","MOB",30.69141667,-88.24283333
"204","MOT",48.25937778,-101.2803339
"205","MQT",46.353639,-87.395361
"206","MRY",36.5869825,-121.8429478
"207","MSN",43.13985778,-89.33751361
"208","MSO",46.91630556,-114.0905556
"209","MSP",44.88054694,-93.2169225
"210","MSY",29.99338889,-90.25802778
"211","MTJ",38.50886722,-107.8938333
"212","MYR",33.67975,-78.92833333
"213","OAJ",34.82916444,-77.61213778
"214","OAK",37.72129083,-122.2207167
"215","OGG",20.89864972,-156.4304578
"216","OKC",35.39308833,-97.60073389
"217","OMA",41.30251861,-95.89417306
"218","OME",64.51220222,-165.4452458
"219","ONT",34.056,-117.6011944
"220","ORD",41.979595,-87.90446417
"221","ORF",36.89461111,-76.20122222
"222","ORH",42.26733944,-71.87570944
"223","OTH",43.41713889,-124.2460278
"224","OTZ",66.88467694,-162.5985497
"225","PAH",37.06083333,-88.77375
"226","PBI",26.68316194,-80.09559417
"227","PDX",45.58872222,-122.5975
"228","PHF",37.13189556,-76.4929875
"229","PHL",39.87195278,-75.24114083
"230","PHX",33.43416667,-112.0080556
"231","PIA",40.66424333,-89.69330556
"232","PIB",31.46714944,-89.33705778
"233","PIH",42.91130556,-112.5958611
"234","PIT",40.49146583,-80.23287083
"235","PLN",45.5709275,-84.796715
"236","PNS",30.47330556,-87.18744444
"237","PPG",14.33102278,-170.7105258
"238","PSC",46.26468028,-119.1190292
"239","PSE",18.00830278,-66.56301194
"240","PSG",56.80165194,-132.9452781
"241","PSP",33.82921556,-116.5062531
"242","PUB",38.28908722,-104.4965722
"243","PVD",41.72399917,-71.42822111
"244","PWM",43.64616667,-70.30875
"245","RAP",44.04532139,-103.0573708
"246","RDD",40.50898361,-122.2934019
"247","RDM",44.25406722,-121.1499633
"248","RDU",35.87763889,-78.78747222
"249","RHI",45.63119306,-89.46745361
"250","RIC",37.50516667,-77.31966667
"251","RKS",41.5942175,-109.0651928
"252","RNO",39.49857611,-119.7680647
"253","ROA",37.32546833,-79.97542833
"254","ROC",43.11886611,-77.67238389
"255","ROW",33.30155556,-104.5305556
"256","RST",43.90882639,-92.49798722
"257","RSW",26.53616667,-81.75516667
"258","SAF",35.61677778,-106.0881389
"259","SAN",32.73355611,-117.1896567
"260","SAT",29.53369444,-98.46977778
"261","SAV",32.12758333,-81.20213889
"262","SBA",34.42621194,-119.8403733
"263","SBN",41.70895361,-86.31847417
"264","SBP",35.23705806,-120.6423931
"265","SCC",70.19475583,-148.4651608
"266","SCE",40.851206,-77.846302
"267","SDF",38.17438889,-85.736
"268","SEA",47.44898194,-122.3093131
"269","SFO",37.61900194,-122.3748433
"270","SGF",37.24432611,-93.38685806
"271","SGU",37.09058333,-113.5930556
"272","SHV",32.4466275,-93.82559833
"273","SIT",57.04713806,-135.3615983
"274","SJC",37.36186194,-121.9290089
"275","SJT",31.35775,-100.4963056
"276","SJU",18.43941667,-66.00183333
"277","SLC",40.78838778,-111.9777731
"278","SMF",38.69542167,-121.5907669
"279","SMX",34.89924833,-120.4575825
"280","SNA",33.67565861,-117.8682225
"281","SPI",39.84395194,-89.67761861
"282","SPS",33.98879611,-98.49189333
"283","SRQ",27.39533333,-82.55411111
"284","STC",45.54532417,-94.05833667
"285","STL",38.74768694,-90.35998972
"286","STT",18.33730556,-64.97336111
"287","STX",17.70188889,-64.79855556
"288","SUN",43.50484139,-114.2965903
"289","SUX",42.40260333,-96.38436694
"290","SWF",41.50409361,-74.10483833
"291","SYR",43.11118694,-76.10631056
"292","TLH",30.39652778,-84.35033333
"293","TOL",41.58680556,-83.80783333
"294","TPA",27.97547222,-82.53325
"295","TRI",36.47521417,-82.40742056
"296","TTN",40.27669111,-74.81346833
"297","TUL",36.19837222,-95.88824167
"298","TUS",32.11608333,-110.9410278
"299","TVC",44.74144472,-85.582235
"300","TWF",42.48180389,-114.4877356
"301","TXK",33.45370806,-93.99102
"302","TYR",32.35413889,-95.40238611
"303","TYS",35.81248722,-83.99285583
"304","VEL",40.44090167,-109.5099203
"305","VLD",30.7825,-83.27672222
"306","VPS",30.48325,-86.5254
"307","WRG",56.48432583,-132.3698242
"308","XNA",36.28186944,-94.30681111
"309","YAK",59.50336056,-139.6602261
"310","YUM",32.65658333,-114.6059722
